Atlas value,Left brain region,Right brain region
6,G+S-cingul-Ant (left hemisphere),G+S-cingul-Ant (right hemisphere)
7,G+S-cingul-Mid-Ant (left hemisphere),G+S-cingul-Mid-Ant (right hemisphere)
8,G+S-cingul-Mid-Post (left hemisphere),G+S-cingul-Mid-Post (right hemisphere)
1,G+S-frontomargin (left hemisphere),G+S-frontomargin (right hemisphere)
2,G+S-occipital-inf (left hemisphere),G+S-occipital-inf (right hemisphere)
3,G+S-paracentral (left hemisphere),G+S-paracentral (right hemisphere)
4,G+S-subcentral (left hemisphere),G+S-subcentral (right hemisphere)
5,G+S-transv-frontopol (left hemisphere),G+S-transv-frontopol (right hemisphere)
17,G-Ins-lg+S-cent-ins (left hemisphere),G-Ins-lg+S-cent-ins (right hemisphere)
9,G-cingul-Post-dorsal (left hemisphere),G-cingul-Post-dorsal (right hemisphere)
10,G-cingul-Post-ventral (left hemisphere),G-cingul-Post-ventral (right hemisphere)
11,G-cuneus (left hemisphere),G-cuneus (right hemisphere)
12,G-front-inf-Opercular (left hemisphere),G-front-inf-Opercular (right hemisphere)
13,G-front-inf-Orbital (left hemisphere),G-front-inf-Orbital (right hemisphere)
14,G-front-inf-Triangul (left hemisphere),G-front-inf-Triangul (right hemisphere)
15,G-front-middle (left hemisphere),G-front-middle (right hemisphere)
16,G-front-sup (left hemisphere),G-front-sup (right hemisphere)
18,G-insular-short (left hemisphere),G-insular-short (right hemisphere)
21,G-oc-temp-lat-fusifor (left hemisphere),G-oc-temp-lat-fusifor (right hemisphere)
22,G-oc-temp-med-Lingual (left hemisphere),G-oc-temp-med-Lingual (right hemisphere)
23,G-oc-temp-med-Parahip (left hemisphere),G-oc-temp-med-Parahip (right hemisphere)
19,G-occipital-middle (left hemisphere),G-occipital-middle (right hemisphere)
20,G-occipital-sup (left hemisphere),G-occipital-sup (right hemisphere)
24,G-orbital (left hemisphere),G-orbital (right hemisphere)
25,G-pariet-inf-Angular (left hemisphere),G-pariet-inf-Angular (right hemisphere)
26,G-pariet-inf-Supramar (left hemisphere),G-pariet-inf-Supramar (right hemisphere)
27,G-parietal-sup (left hemisphere),G-parietal-sup (right hemisphere)
28,G-postcentral (left hemisphere),G-postcentral (right hemisphere)
29,G-precentral (left hemisphere),G-precentral (right hemisphere)
30,G-precuneus (left hemisphere),G-precuneus (right hemisphere)
31,G-rectus (left hemisphere),G-rectus (right hemisphere)
32,G-subcallosal (left hemisphere),G-subcallosal (right hemisphere)
33,G-temp-sup-G-T-transv (left hemisphere),G-temp-sup-G-T-transv (right hemisphere)
34,G-temp-sup-Lateral (left hemisphere),G-temp-sup-Lateral (right hemisphere)
35,G-temp-sup-Plan-polar (left hemisphere),G-temp-sup-Plan-polar (right hemisphere)
36,G-temp-sup-Plan-tempo (left hemisphere),G-temp-sup-Plan-tempo (right hemisphere)
37,G-temporal-inf (left hemisphere),G-temporal-inf (right hemisphere)
38,G-temporal-middle (left hemisphere),G-temporal-middle (right hemisphere)
39,Lat-Fis-ant-Horizont (left hemisphere),Lat-Fis-ant-Horizont (right hemisphere)
40,Lat-Fis-ant-Vertical (left hemisphere),Lat-Fis-ant-Vertical (right hemisphere)
41,Lat-Fis-post (left hemisphere),Lat-Fis-post (right hemisphere)
43,Pole-occipital (left hemisphere),Pole-occipital (right hemisphere)
44,Pole-temporal (left hemisphere),Pole-temporal (right hemisphere)
45,S-calcarine (left hemisphere),S-calcarine (right hemisphere)
46,S-central (left hemisphere),S-central (right hemisphere)
47,S-cingul-Marginalis (left hemisphere),S-cingul-Marginalis (right hemisphere)
48,S-circular-insula-ant (left hemisphere),S-circular-insula-ant (right hemisphere)
49,S-circular-insula-inf (left hemisphere),S-circular-insula-inf (right hemisphere)
50,S-circular-insula-sup (left hemisphere),S-circular-insula-sup (right hemisphere)
51,S-collat-transv-ant (left hemisphere),S-collat-transv-ant (right hemisphere)
52,S-collat-transv-post (left hemisphere),S-collat-transv-post (right hemisphere)
53,S-front-inf (left hemisphere),S-front-inf (right hemisphere)
54,S-front-middle (left hemisphere),S-front-middle (right hemisphere)
55,S-front-sup (left hemisphere),S-front-sup (right hemisphere)
56,S-interm-prim-Jensen (left hemisphere),S-interm-prim-Jensen (right hemisphere)
57,S-intrapariet+P-trans (left hemisphere),S-intrapariet+P-trans (right hemisphere)
58,S-oc-middle+Lunatus (left hemisphere),S-oc-middle+Lunatus (right hemisphere)
59,S-oc-sup+transversal (left hemisphere),S-oc-sup+transversal (right hemisphere)
61,S-oc-temp-lat (left hemisphere),S-oc-temp-lat (right hemisphere)
62,S-oc-temp-med+Lingual (left hemisphere),S-oc-temp-med+Lingual (right hemisphere)
60,S-occipital-ant (left hemisphere),S-occipital-ant (right hemisphere)
65,S-orbital-H-Shaped (left hemisphere),S-orbital-H-Shaped (right hemisphere)
63,S-orbital-lateral (left hemisphere),S-orbital-lateral (right hemisphere)
64,S-orbital-med-olfact (left hemisphere),S-orbital-med-olfact (right hemisphere)
66,S-parieto-occipital (left hemisphere),S-parieto-occipital (right hemisphere)
67,S-pericallosal (left hemisphere),S-pericallosal (right hemisphere)
68,S-postcentral (left hemisphere),S-postcentral (right hemisphere)
69,S-precentral-inf-part (left hemisphere),S-precentral-inf-part (right hemisphere)
70,S-precentral-sup-part (left hemisphere),S-precentral-sup-part (right hemisphere)
71,S-suborbital (left hemisphere),S-suborbital (right hemisphere)
72,S-subparietal (left hemisphere),S-subparietal (right hemisphere)
73,S-temporal-inf (left hemisphere),S-temporal-inf (right hemisphere)
74,S-temporal-sup (left hemisphere),S-temporal-sup (right hemisphere)
75,S-temporal-transverse (left hemisphere),S-temporal-transverse (right hemisphere)