Atlas value,Brain region
26,Accumbens-area (left hemisphere)
18,Amygdala (left hemisphere)
11,Caudate (left hemisphere)
8,Cerebellum-Cortex (left hemisphere)
7,Cerebellum-White-Matter (left hemisphere)
17,Hippocampus (left hemisphere)
5,Inf-Lat-Vent (left hemisphere)
4,Lateral-Ventricle (left hemisphere)
13,Pallidum (left hemisphere)
12,Putamen (left hemisphere)
10,Thalamus-Proper (left hemisphere)
28,VentralDC (left hemisphere)
31,choroid-plexus (left hemisphere)
30,vessel (left hemisphere)
58,Accumbens-area (right hemisphere)
54,Amygdala (right hemisphere)
50,Caudate (right hemisphere)
47,Cerebellum-Cortex (right hemisphere)
45,Cerebellum-White-Matter (right hemisphere)
53,Hippocampus (right hemisphere)
44,Inf-Lat-Vent (right hemisphere)
43,Lateral-Ventricle (right hemisphere)
52,Pallidum (right hemisphere)
51,Putamen (right hemisphere)
49,Thalamus-Proper (right hemisphere)
60,VentralDC (right hemisphere)
63,choroid-plexus (right hemisphere)
62,vessel (right hemisphere)
14,3rd-Ventricle (whole brain)
15,4th-Ventricle (whole brain)
16,Brain-Stem (whole brain)
255,CC-Anterior (whole brain)
253,CC-Central (whole brain)
254,CC-Mid-Anterior (whole brain)
252,CC-Mid-Posterior (whole brain)
251,CC-Posterior (whole brain)