Atlas value,Brain region
24,anterior corona radiata on FA skeleton (left)
23,anterior corona radiata on FA skeleton (right)
18,anterior limb of internal capsule on FA skeleton (left)
17,anterior limb of internal capsule on FA skeleton (right)
4,body of corpus callosum on FA skeleton
16,cerebral peduncle on FA skeleton (left)
15,cerebral peduncle on FA skeleton (right)
36,cingulum cingulate gyrus on FA skeleton (left)
35,cingulum cingulate gyrus on FA skeleton (right)
38,cingulum hippocampus on FA skeleton (left)
37,cingulum hippocampus on FA skeleton (right)
8,corticospinal tract on FA skeleton (left)
7,corticospinal tract on FA skeleton (right)
34,external capsule on FA skeleton (left)
33,external capsule on FA skeleton (right)
40,fornix cres+stria terminalis on FA skeleton (left)
39,fornix cres+stria terminalis on FA skeleton (right)
6,fornix on FA skeleton
3,genu of corpus callosum on FA skeleton
12,inferior cerebellar peduncle on FA skeleton (left)
11,inferior cerebellar peduncle on FA skeleton (right)
10,medial lemniscus on FA skeleton (left)
9,medial lemniscus on FA skeleton (right)
1,middle cerebellar peduncle on FA skeleton
2,pontine crossing tract on FA skeleton
28,posterior corona radiata on FA skeleton (left)
27,posterior corona radiata on FA skeleton (right)
20,posterior limb of internal capsule on FA skeleton (left)
19,posterior limb of internal capsule on FA skeleton (right)
30,posterior thalamic radiation on FA skeleton (left)
29,posterior thalamic radiation on FA skeleton (right)
22,retrolenticular part of internal capsule on FA skeleton (left)
21,retrolenticular part of internal capsule on FA skeleton (right)
32,sagittal stratum on FA skeleton (left)
31,sagittal stratum on FA skeleton (right)
5,splenium of corpus callosum on FA skeleton
14,superior cerebellar peduncle on FA skeleton (left)
13,superior cerebellar peduncle on FA skeleton (right)
26,superior corona radiata on FA skeleton (left)
25,superior corona radiata on FA skeleton (right)
44,superior fronto-occipital fasciculus on FA skeleton (left)
43,superior fronto-occipital fasciculus on FA skeleton (right)
42,superior longitudinal fasciculus on FA skeleton (left)
41,superior longitudinal fasciculus on FA skeleton (right)
50,tapetum on FA skeleton (left)
49,tapetum on FA skeleton (right)
48,uncinate fasciculus on FA skeleton (left)
47,uncinate fasciculus on FA skeleton (right)