Field ID,Field Description,Short Name,Category,Type,Instance,Data Coding,To Exclude 1,To Exclude 2,Notes
23405,LDL Cholesterol,LDL cholesterol,NMR metabolomics,NMR metabol,0,,,,
23406,HDL Cholesterol,HDL cholesterol,NMR metabolomics,NMR metabol,0,,,,
23407,Total Triglycerides,Triglycerides,NMR metabolomics,NMR metabol,0,,,,
23434,Phosphoglycerides,Phosphoglycerides,NMR metabolomics,NMR metabol,0,,,,
23439,Apolipoprotein B,Apo B,NMR metabolomics,NMR metabol,0,,,,
23440,Apolipoprotein A1,Apo A1,NMR metabolomics,NMR metabol,0,,,,
23441,Apolipoprotein B to Apolipoprotein A1 ratio,Apo-B-to-Apo-A1,NMR metabolomics,NMR metabol,0,,,,
23442,Total Fatty Acids,Total fatty,NMR metabolomics,NMR metabol,0,,,,
23444,Omega-3 Fatty Acids,Omega-3 fatty,NMR metabolomics,NMR metabol,0,,,,
23445,Omega-6 Fatty Acids,Omega-6 fatty,NMR metabolomics,NMR metabol,0,,,,
23446,Polyunsaturated Fatty Acids,Polyunsat fatty,NMR metabolomics,NMR metabol,0,,,,
23447,Monounsaturated Fatty Acids,Monounsat fatty,NMR metabolomics,NMR metabol,0,,,,
23448,Saturated Fatty Acids,Sat fatty,NMR metabolomics,NMR metabol,0,,,,
23449,Linoleic Acid,Linoleic,NMR metabolomics,NMR metabol,0,,,,
23450,Docosahexaenoic Acid,DHA,NMR metabolomics,NMR metabol,0,,,,
25079,Mean FA in anterior corona radiata on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25078,Mean FA in anterior corona radiata on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25073,Mean FA in anterior limb of internal capsule on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25072,Mean FA in anterior limb of internal capsule on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25059,Mean FA in body of corpus callosum on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25071,Mean FA in cerebral peduncle on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25070,Mean FA in cerebral peduncle on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25091,Mean FA in cingulum cingulate gyrus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25090,Mean FA in cingulum cingulate gyrus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25093,Mean FA in cingulum hippocampus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25092,Mean FA in cingulum hippocampus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25063,Mean FA in corticospinal tract on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25062,Mean FA in corticospinal tract on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25089,Mean FA in external capsule on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25088,Mean FA in external capsule on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25095,Mean FA in fornix cres+stria terminalis on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25094,Mean FA in fornix cres+stria terminalis on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25061,Mean FA in fornix on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25058,Mean FA in genu of corpus callosum on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25067,Mean FA in inferior cerebellar peduncle on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25066,Mean FA in inferior cerebellar peduncle on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25065,Mean FA in medial lemniscus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25064,Mean FA in medial lemniscus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25056,Mean FA in middle cerebellar peduncle on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25057,Mean FA in pontine crossing tract on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25083,Mean FA in posterior corona radiata on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25082,Mean FA in posterior corona radiata on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25075,Mean FA in posterior limb of internal capsule on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25074,Mean FA in posterior limb of internal capsule on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25085,Mean FA in posterior thalamic radiation on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25084,Mean FA in posterior thalamic radiation on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25077,Mean FA in retrolenticular part of internal capsule on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25076,Mean FA in retrolenticular part of internal capsule on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25087,Mean FA in sagittal stratum on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25086,Mean FA in sagittal stratum on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25060,Mean FA in splenium of corpus callosum on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25069,Mean FA in superior cerebellar peduncle on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25068,Mean FA in superior cerebellar peduncle on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25081,Mean FA in superior corona radiata on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25080,Mean FA in superior corona radiata on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25099,Mean FA in superior fronto-occipital fasciculus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25098,Mean FA in superior fronto-occipital fasciculus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25097,Mean FA in superior longitudinal fasciculus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25096,Mean FA in superior longitudinal fasciculus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25103,Mean FA in tapetum on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25102,Mean FA in tapetum on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25101,Mean FA in uncinate fasciculus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25100,Mean FA in uncinate fasciculus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25127,Mean MD in anterior corona radiata on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25126,Mean MD in anterior corona radiata on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25121,Mean MD in anterior limb of internal capsule on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25120,Mean MD in anterior limb of internal capsule on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25107,Mean MD in body of corpus callosum on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25119,Mean MD in cerebral peduncle on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25118,Mean MD in cerebral peduncle on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25139,Mean MD in cingulum cingulate gyrus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25138,Mean MD in cingulum cingulate gyrus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25141,Mean MD in cingulum hippocampus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25140,Mean MD in cingulum hippocampus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25111,Mean MD in corticospinal tract on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25110,Mean MD in corticospinal tract on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25137,Mean MD in external capsule on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25136,Mean MD in external capsule on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25143,Mean MD in fornix cres+stria terminalis on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25142,Mean MD in fornix cres+stria terminalis on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25109,Mean MD in fornix on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25106,Mean MD in genu of corpus callosum on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25115,Mean MD in inferior cerebellar peduncle on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25114,Mean MD in inferior cerebellar peduncle on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25113,Mean MD in medial lemniscus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25112,Mean MD in medial lemniscus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25104,Mean MD in middle cerebellar peduncle on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25105,Mean MD in pontine crossing tract on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25131,Mean MD in posterior corona radiata on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25130,Mean MD in posterior corona radiata on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25123,Mean MD in posterior limb of internal capsule on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25122,Mean MD in posterior limb of internal capsule on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25133,Mean MD in posterior thalamic radiation on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25132,Mean MD in posterior thalamic radiation on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25125,Mean MD in retrolenticular part of internal capsule on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25124,Mean MD in retrolenticular part of internal capsule on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25135,Mean MD in sagittal stratum on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25134,Mean MD in sagittal stratum on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25108,Mean MD in splenium of corpus callosum on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25117,Mean MD in superior cerebellar peduncle on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25116,Mean MD in superior cerebellar peduncle on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25129,Mean MD in superior corona radiata on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25128,Mean MD in superior corona radiata on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25147,Mean MD in superior fronto-occipital fasciculus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25146,Mean MD in superior fronto-occipital fasciculus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25145,Mean MD in superior longitudinal fasciculus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25144,Mean MD in superior longitudinal fasciculus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25151,Mean MD in tapetum on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25150,Mean MD in tapetum on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25149,Mean MD in uncinate fasciculus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25148,Mean MD in uncinate fasciculus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25367,Mean ICVF in anterior corona radiata on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25366,Mean ICVF in anterior corona radiata on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25361,Mean ICVF in anterior limb of internal capsule on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25360,Mean ICVF in anterior limb of internal capsule on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25347,Mean ICVF in body of corpus callosum on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25359,Mean ICVF in cerebral peduncle on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25358,Mean ICVF in cerebral peduncle on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25379,Mean ICVF in cingulum cingulate gyrus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25378,Mean ICVF in cingulum cingulate gyrus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25381,Mean ICVF in cingulum hippocampus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25380,Mean ICVF in cingulum hippocampus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25351,Mean ICVF in corticospinal tract on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25350,Mean ICVF in corticospinal tract on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25377,Mean ICVF in external capsule on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25376,Mean ICVF in external capsule on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25383,Mean ICVF in fornix cres+stria terminalis on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25382,Mean ICVF in fornix cres+stria terminalis on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25349,Mean ICVF in fornix on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25346,Mean ICVF in genu of corpus callosum on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25355,Mean ICVF in inferior cerebellar peduncle on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25354,Mean ICVF in inferior cerebellar peduncle on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25353,Mean ICVF in medial lemniscus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25352,Mean ICVF in medial lemniscus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25344,Mean ICVF in middle cerebellar peduncle on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25345,Mean ICVF in pontine crossing tract on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25371,Mean ICVF in posterior corona radiata on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25370,Mean ICVF in posterior corona radiata on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25363,Mean ICVF in posterior limb of internal capsule on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25362,Mean ICVF in posterior limb of internal capsule on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25373,Mean ICVF in posterior thalamic radiation on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25372,Mean ICVF in posterior thalamic radiation on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25365,Mean ICVF in retrolenticular part of internal capsule on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25364,Mean ICVF in retrolenticular part of internal capsule on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25375,Mean ICVF in sagittal stratum on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25374,Mean ICVF in sagittal stratum on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25348,Mean ICVF in splenium of corpus callosum on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25357,Mean ICVF in superior cerebellar peduncle on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25356,Mean ICVF in superior cerebellar peduncle on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25369,Mean ICVF in superior corona radiata on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25368,Mean ICVF in superior corona radiata on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25387,Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25386,Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25385,Mean ICVF in superior longitudinal fasciculus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25384,Mean ICVF in superior longitudinal fasciculus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25391,Mean ICVF in tapetum on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25390,Mean ICVF in tapetum on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25389,Mean ICVF in uncinate fasciculus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25388,Mean ICVF in uncinate fasciculus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25463,Mean ISOVF in anterior corona radiata on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25462,Mean ISOVF in anterior corona radiata on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25457,Mean ISOVF in anterior limb of internal capsule on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25456,Mean ISOVF in anterior limb of internal capsule on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25443,Mean ISOVF in body of corpus callosum on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25455,Mean ISOVF in cerebral peduncle on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25454,Mean ISOVF in cerebral peduncle on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25475,Mean ISOVF in cingulum cingulate gyrus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25474,Mean ISOVF in cingulum cingulate gyrus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25477,Mean ISOVF in cingulum hippocampus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25476,Mean ISOVF in cingulum hippocampus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25447,Mean ISOVF in corticospinal tract on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25446,Mean ISOVF in corticospinal tract on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25473,Mean ISOVF in external capsule on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25472,Mean ISOVF in external capsule on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25479,Mean ISOVF in fornix cres+stria terminalis on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25478,Mean ISOVF in fornix cres+stria terminalis on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25445,Mean ISOVF in fornix on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25442,Mean ISOVF in genu of corpus callosum on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25451,Mean ISOVF in inferior cerebellar peduncle on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25450,Mean ISOVF in inferior cerebellar peduncle on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25449,Mean ISOVF in medial lemniscus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25448,Mean ISOVF in medial lemniscus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25440,Mean ISOVF in middle cerebellar peduncle on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25441,Mean ISOVF in pontine crossing tract on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25467,Mean ISOVF in posterior corona radiata on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25466,Mean ISOVF in posterior corona radiata on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25459,Mean ISOVF in posterior limb of internal capsule on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25458,Mean ISOVF in posterior limb of internal capsule on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25469,Mean ISOVF in posterior thalamic radiation on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25468,Mean ISOVF in posterior thalamic radiation on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25461,Mean ISOVF in retrolenticular part of internal capsule on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25460,Mean ISOVF in retrolenticular part of internal capsule on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25471,Mean ISOVF in sagittal stratum on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25470,Mean ISOVF in sagittal stratum on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25444,Mean ISOVF in splenium of corpus callosum on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25453,Mean ISOVF in superior cerebellar peduncle on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25452,Mean ISOVF in superior cerebellar peduncle on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25465,Mean ISOVF in superior corona radiata on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25464,Mean ISOVF in superior corona radiata on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25483,Mean ISOVF in superior fronto-occipital fasciculus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25482,Mean ISOVF in superior fronto-occipital fasciculus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25481,Mean ISOVF in superior longitudinal fasciculus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25480,Mean ISOVF in superior longitudinal fasciculus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25487,Mean ISOVF in tapetum on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25486,Mean ISOVF in tapetum on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25485,Mean ISOVF in uncinate fasciculus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25484,Mean ISOVF in uncinate fasciculus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25415,Mean OD in anterior corona radiata on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25414,Mean OD in anterior corona radiata on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25409,Mean OD in anterior limb of internal capsule on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25408,Mean OD in anterior limb of internal capsule on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25395,Mean OD in body of corpus callosum on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25407,Mean OD in cerebral peduncle on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25406,Mean OD in cerebral peduncle on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25427,Mean OD in cingulum cingulate gyrus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25426,Mean OD in cingulum cingulate gyrus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25429,Mean OD in cingulum hippocampus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25428,Mean OD in cingulum hippocampus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25399,Mean OD in corticospinal tract on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25398,Mean OD in corticospinal tract on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25425,Mean OD in external capsule on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25424,Mean OD in external capsule on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25431,Mean OD in fornix cres+stria terminalis on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25430,Mean OD in fornix cres+stria terminalis on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25397,Mean OD in fornix on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25394,Mean OD in genu of corpus callosum on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25403,Mean OD in inferior cerebellar peduncle on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25402,Mean OD in inferior cerebellar peduncle on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25401,Mean OD in medial lemniscus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25400,Mean OD in medial lemniscus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25392,Mean OD in middle cerebellar peduncle on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25393,Mean OD in pontine crossing tract on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25419,Mean OD in posterior corona radiata on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25418,Mean OD in posterior corona radiata on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25411,Mean OD in posterior limb of internal capsule on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25410,Mean OD in posterior limb of internal capsule on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25421,Mean OD in posterior thalamic radiation on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25420,Mean OD in posterior thalamic radiation on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25413,Mean OD in retrolenticular part of internal capsule on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25412,Mean OD in retrolenticular part of internal capsule on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25423,Mean OD in sagittal stratum on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25422,Mean OD in sagittal stratum on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25396,Mean OD in splenium of corpus callosum on FA skeleton,,dMRI skeleton,Brain WM,2,,,,
25405,Mean OD in superior cerebellar peduncle on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25404,Mean OD in superior cerebellar peduncle on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25417,Mean OD in superior corona radiata on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25416,Mean OD in superior corona radiata on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25435,Mean OD in superior fronto-occipital fasciculus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25434,Mean OD in superior fronto-occipital fasciculus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25433,Mean OD in superior longitudinal fasciculus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25432,Mean OD in superior longitudinal fasciculus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25439,Mean OD in tapetum on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25438,Mean OD in tapetum on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,
25437,Mean OD in uncinate fasciculus on FA skeleton (left),,dMRI skeleton,Brain WM,2,,,,
25436,Mean OD in uncinate fasciculus on FA skeleton (right),,dMRI skeleton,Brain WM,2,,,,